Date,Plug-In Hybrid Electric Vehicle (PHEV) Count,Battery Electric Vehicle (BEV) Count,Electric Vehicle (EV) Total
January 31 2017,8398,14823,23221
February 28 2017,8612,15307,23919
March 31 2017,8833,15713,24546
April 30 2017,9015,16234,25249
May 31 2017,9236,16713,25949
June 30 2017,9445,17137,26582
July 31 2017,9633,17543,27176
August 31 2017,9859,17842,27701
September 30 2017,10083,18237,28320
October 31 2017,10359,18685,29044
November 30 2017,10593,19034,29627
December 31 2017,10823,19335,30158
January 31 2018,11243,19866,31109
February 28 2018,11539,20101,31640
March 31 2018,11869,20528,32397
April 30 2018,12211,21058,33269
May 31 2018,12633,21833,34466
June 30 2018,13018,22557,35575
July 31 2018,13313,23093,36406
August 31 2018,13624,23649,37273
September 30 2018,13960,24250,38210
October 31 2018,14315,25609,39924
November 30 2018,14695,26889,41584
December 31 2018,15026,27836,42862
January 31 2019,15406,29228,44634
February 28 2019,15582,29792,45374
March 31 2019,15735,30128,45863
April 30 2019,15995,31162,47157
May 31 2019,16272,31847,48119
June 30 2019,16509,32665,49174
July 31 2019,16790,33631,50421
August 31 2019,17005,34386,51391
September 30 2019,17238,35175,52413
October 31 2019,17521,36765,54286
November 30 2019,17712,37210,54922
December 31 2019,17876,37856,55732
January 31 2020,18080,39883,57963
February 29 2020,18173,40348,58521
March 31 2020,18259,41066,59325
April 30 2020,18167,41375,59542
May 31 2020,18125,41284,59409
June 30 2020,18146,41464,59610
July 31 2020,18190,42758,60948
August 31 2020,18179,43128,61307
September 30 2020,18067,42861,60928
